cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,35,36,37,
2e-07,2,36,37,
2e-07,42,36,37,
2e-07,28,34,35,
2e-07,8,32,33,
3e-07,2,31,32,
2e-07,37,33,34,
3e-07,41,35,36,
2e-07,2,32,33,
3e-07,40,25,26,
2e-07,40,25,26,
3e-07,19,25,26,
3e-07,9,22,23,
3e-07,37,23,24,
3e-07,27,24,25,
3e-07,13,25,26,
3e-07,44,23,24,
3e-07,15,22,23,
3e-07,2,20,21,
4e-07,2,20,21,
7e-07,45,20,21,
3e-07,38,21,22,
3e-07,41,19,20,
3e-07,32,20,21,
3e-07,7,21,22,
3e-07,40,19,20,
3e-07,25,19,20,
3e-07,4,19,20,
3e-07,31,20,21,
3e-07,36,20,21,
3e-07,40,18,19,
3e-07,6,17,18,
3e-07,19,19,20,
3e-07,21,20,21,
3e-07,34,16,17,
3e-07,29,6,7,
2e-07,26,7,8,
3e-07,4,8,9,
3e-07,36,9,10,
6e-07,3,7,8,
4e-07,23,8,9,
4e-07,43,9,10,
4e-07,4,10,11,
5e-07,35,11,12,
4e-07,33,12,13,
6e-07,31,13,14,
5e-07,10,16,17,
3e-07,42,15,16,
3e-07,28,16,17,
4e-07,19,12,13,
3e-07,21,11,12,
4e-07,6,12,13,
