cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,18,18,41,
2e-07,4,4,37,
3e-07,25,25,36,
3e-07,16,16,36,
2e-07,7,7,36,
2e-07,17,17,36,
2e-07,10,10,35,
3e-07,27,27,33,
2e-07,16,16,28,
2e-07,11,11,30,
1e-07,1,1,26,
2e-07,15,15,24,
3e-07,15,15,16,
2e-07,10,10,17,
1e-07,4,4,16,
2e-07,12,12,20,
2e-07,16,16,21,
2e-07,8,8,21,
2e-07,15,15,16,
1e-07,4,4,19,
3e-07,19,19,23,
1e-07,4,4,26,
2e-07,4,4,27,
2e-07,15,15,25,
2e-07,1,1,23,
2e-07,12,12,21,
2e-07,13,13,21,
2e-07,1,1,18,
2e-07,12,12,32,
3e-07,27,27,29,
2e-07,11,11,30,
1e-07,2,2,25,
2e-07,21,21,27,
2e-07,14,14,27,
2e-07,6,6,28,
1e-07,0,0,27,
2e-07,2,2,26,
2e-07,19,19,27,
3e-07,17,17,21,
2e-07,7,7,27,
3e-07,16,16,21,
2e-07,6,6,18,
1e-07,2,2,18,
2e-07,7,7,21,
1e-07,2,2,20,
2e-07,9,9,21,
2e-07,6,6,21,
3e-07,10,10,13,
2e-07,13,13,14,
2e-07,1,1,2,
2e-07,2,2,12,
2e-07,2,2,14,
2e-07,11,11,18,
3e-07,13,13,22,
3e-07,10,10,23,
2e-07,8,8,22,
3e-07,18,18,23,
2e-07,11,11,24,
2e-07,4,4,15,
2e-07,7,7,14,
1e-07,7,7,14,
2e-07,4,4,23,
2e-07,17,17,18,
2e-07,8,8,18,
2e-07,1,1,11,
2e-07,12,12,14,
2e-07,10,10,11,
2e-07,7,7,16,
3e-07,0,0,18,
2e-07,7,7,18,
2e-07,6,6,13,
1e-07,2,2,8,
1e-07,0,0,9,
2e-07,5,5,8,
2e-07,4,4,9,
1e-07,4,4,5,
1e-07,0,0,8,
1e-07,0,0,4,
1e-07,3,3,4,
1e-07,1,1,4,
1e-07,1,1,3,
2e-07,1,1,2,
2e-07,6,6,7,
2e-07,15,15,16,
2e-07,10,10,16,
1e-07,2,2,10,
1e-07,6,6,9,
2e-07,2,2,8,
1e-07,4,4,9,
2e-07,6,6,13,
1e-07,2,2,14,
3e-07,6,6,19,
3e-07,12,12,22,
2e-07,14,14,23,
2e-07,16,16,27,
2e-07,7,7,25,
3e-07,20,20,27,
2e-07,20,20,27,
2e-07,1,1,25,
2e-07,8,8,24,
2e-07,11,11,24,
2e-07,12,12,22,
2e-07,11,11,23,
1e-07,0,0,24,
2e-07,14,14,21,
2e-07,14,14,21,
3e-07,16,16,22,
2e-07,13,13,22,
2e-07,3,3,16,
2e-07,8,8,16,
3e-07,6,6,8,
2e-07,8,8,14,
1e-07,1,1,15,
2e-07,12,12,15,
1e-07,3,3,15,
2e-07,6,6,16,
2e-07,1,1,2,
2e-07,5,5,6,
2e-07,0,0,1,
1e-07,0,0,6,
2e-07,0,0,1,
1e-07,0,0,1,
1e-07,2,2,4,
2e-07,2,2,3,
1e-07,0,0,2,
2e-07,4,4,5,
1e-07,0,0,9,
1e-07,2,2,8,
1e-07,5,5,11,
1e-07,0,0,11,
2e-07,9,9,14,
3e-07,15,15,18,
2e-07,9,9,16,
2e-07,5,5,7,
2e-07,3,3,10,
1e-07,7,7,9,
2e-07,13,13,15,
1e-07,1,1,19,
2e-07,6,6,7,
2e-07,5,5,7,
1e-07,1,1,11,
2e-07,8,8,14,
2e-07,8,8,32,
2e-07,3,3,34,
3e-07,18,18,35,
1e-07,2,2,39,
1e-07,7,7,39,
4e-07,33,33,38,
2e-07,8,8,34,
3e-07,21,21,36,
3e-07,20,20,35,
2e-07,8,8,33,
2e-07,15,15,36,
2e-07,7,7,35,
3e-07,29,29,30,
2e-07,7,7,30,
2e-07,5,5,32,
3e-07,11,11,30,
2e-07,10,10,33,
2e-07,12,12,31,
2e-07,20,20,34,
2e-07,16,16,37,
2e-07,1,1,37,
4e-07,38,38,40,
4e-07,19,19,39,
2e-07,13,13,41,
3e-07,16,16,43,
2e-07,2,2,47,
2e-07,8,8,45,
3e-07,24,24,39,
2e-07,14,14,40,
3e-07,17,17,39,
2e-07,6,6,50,
2e-07,8,8,51,
2e-07,11,11,56,
1e-07,6,6,53,
1e-07,6,6,53,
1e-07,3,3,59,
1e-07,9,9,59,
1e-07,4,4,61,
1e-07,0,0,63,
2e-07,8,8,69,
5e-07,52,52,77,
2e-07,6,6,72,
3e-07,26,26,75,
5e-07,58,58,71,
2e-07,5,5,68,
2e-07,7,7,66,
1e-07,6,6,67,
2e-07,3,3,78,
2e-07,7,7,74,
4e-07,38,38,73,
1e-07,2,2,79,
2e-07,13,13,77,
4e-07,40,40,66,
