cas operacie,cislo,index prvku,dlzka zoznamu,
4e-07,92,31,160,
9e-07,91,106,160,
2e-07,91,11,158,
9e-07,92,109,151,
5e-07,94,49,149,
8e-07,91,91,153,
1e-07,95,2,165,
1.1e-06,91,150,164,
6e-07,95,74,167,
3e-07,94,17,174,
7e-07,95,76,160,
2e-07,95,9,158,
4e-07,92,43,161,
8e-07,93,86,156,
5e-07,93,52,160,
7e-07,94,68,160,
7e-07,93,83,142,
1.1e-06,94,136,138,
1e-06,95,123,137,
7e-07,91,86,138,
9e-07,95,97,140,
3e-07,93,26,143,
3e-07,93,27,135,
2e-07,94,9,130,
5e-07,91,56,135,
8e-07,92,86,136,
1e-06,94,116,139,
8e-07,93,91,122,
7e-07,93,84,122,
1e-07,93,3,118,
1e-07,94,1,123,
2e-07,91,5,129,
3e-07,92,26,128,
2e-07,95,13,126,
1e-06,91,122,126,
2e-07,95,15,135,
7e-07,93,83,135,
7e-07,94,79,141,
2e-07,94,5,140,
5e-07,92,57,125,
7e-07,92,86,125,
9e-07,93,102,134,
5e-07,95,53,137,
9e-07,93,99,142,
5e-07,93,48,141,
7e-07,94,74,139,
7e-07,94,76,137,
5e-07,91,47,137,
9e-07,95,97,149,
9e-07,91,115,144,
9e-07,92,109,144,
7e-07,91,70,141,
4e-07,95,43,140,
4e-07,92,37,136,
6e-07,95,58,141,
1e-06,94,122,142,
8e-07,94,89,140,
6e-07,94,59,132,
1.1e-06,91,132,146,
9e-07,91,113,142,
1.1e-06,93,125,149,
9e-07,91,112,146,
2e-07,93,10,140,
6e-07,95,68,138,
8e-07,91,80,127,
6e-07,94,59,127,
5e-07,93,53,133,
5e-07,95,46,128,
5e-07,91,42,119,
5e-07,92,53,126,
2e-07,91,21,119,
8e-07,93,91,116,
3e-07,92,22,107,
6e-07,94,63,104,
7e-07,92,76,103,
8e-07,95,98,114,
7e-07,92,79,99,
3e-07,91,27,95,
5e-07,94,47,100,
4e-07,93,42,101,
1e-07,92,0,106,
5e-07,93,52,112,
4e-07,94,40,118,
1e-07,95,6,107,
4e-07,94,39,112,
6e-07,95,65,113,
8e-07,92,92,109,
5e-07,91,52,105,
1e-07,95,0,104,
5e-07,91,46,102,
4e-07,93,34,108,
