cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
0.0001868,8,713,26,,,,,0.0000491,29,6269,3
5.86E-05,5,5695,27,,,,,0.0000516,35,3685,3
0.0001312,11,607,28,,,,,0.0000484,21,482,3
4.73E-05,14,3985,29,,,,,0.0000474,14,4791,3
4.98E-05,35,8563,30,,,,,0.000047,31,2205,3
4.77E-05,14,4067,27,,,,,0.0000514,21,7709,3
0.0001062,31,477,27,,,,,0.0000478,3,711,3
0.000188,12,2687,27,,,,,0.0000481,13,1426,3
7.51E-05,11,6166,26,,,,,0.0000475,17,8159,3
4.51E-05,17,4215,27,,,,,0.0000526,18,2517,3
5.22E-05,21,6612,28,,,,,0.0000641,5,3621,3
4.98E-05,2,8944,29,,,,,0.0000529,27,9076,3
5.01E-05,23,7373,30,,,,,0.0000536,22,4352,3
