cas operacie,cislo,velkost frontu,,,,,,,
2.35E-05,15,12,,,,,0.0000299,3,2
2.35E-05,15,12,,,,,0.0000299,3,2
2.38E-05,15,13,,,,,0.0000299,3,2
2.36E-05,15,10,,,,,0.0000312,3,2
2.42E-05,15,10,,,,,0.0000302,3,2
2.36E-05,15,10,,,,,0.0000289,3,2
2.35E-05,15,10,,,,,0.0000326,3,2
2.38E-05,15,9,,,,,0.000031,3,2
2.35E-05,15,10,,,,,0.0000309,3,2
2.37E-05,15,10,,,,,0.0000331,3,2
2.33E-05,15,9,,,,,0.0000322,3,2
2.34E-05,15,10,,,,,0.0000313,3,2
2.33E-05,15,10,,,,,0.000044,3,2
2.35E-05,15,10,,,,,0.0000235,3,2
2.34E-05,15,8,,,,,0.0000236,3,2
2.33E-05,15,11,,,,,0.0000235,3,2
2.34E-05,15,12,,,,,0.0000237,3,2
2.93E-05,15,13,,,,,0.0000281,3,2
3.01E-05,15,14,,,,,0.0000234,3,2
2.35E-05,15,14,,,,,0.0000235,3,2
2.33E-05,15,14,,,,,0.0000235,3,2
2.35E-05,15,14,,,,,0.0000231,3,2
2.36E-05,15,12,,,,,0.0000233,3,2
2.38E-05,15,12,,,,,0.0000311,3,2
2.35E-05,15,12,,,,,0.0000297,3,2
2.36E-05,15,11,,,,,0.0000337,3,2
2.86E-05,15,11,,,,,0.0000309,3,2
3.79E-05,15,10,,,,,0.0000238,3,2
0.0001542,15,9,,,,,0.0000234,3,2
3.06E-05,15,10,,,,,0.0000247,3,2
3.11E-05,15,10,,,,,0.0000235,3,2
3.42E-05,15,10,,,,,0.0000304,3,2
2.39E-05,15,11,,,,,0.0000234,3,2
2.38E-05,15,10,,,,,0.0000237,3,2
2.37E-05,15,10,,,,,0.0000232,3,2
2.37E-05,15,10,,,,,0.0000329,3,2
2.35E-05,15,10,,,,,0.0000324,3,2
2.34E-05,15,14,,,,,0.0000309,3,2
2.33E-05,15,14,,,,,0.0000338,3,2
3.58E-05,15,13,,,,,0.0000303,3,2
2.39E-05,15,12,,,,,0.0000237,3,2
