cas operacie,index prvku,dlzka zoznamu,,,,,,
2.61E-05,17,17,,,,0.0000299,3,3
4.48E-05,16,16,,,,0.0000247,3,3
3.57E-05,15,15,,,,0.0000251,3,3
3.85E-05,13,13,,,,0.0000247,3,3
2.60E-05,14,14,,,,0.0000247,3,3
2.57E-05,14,14,,,,0.000025,3,3
2.64E-05,13,13,,,,0.0000248,3,3
2.60E-05,9,9,,,,0.0000246,3,3
2.74E-05,4,4,,,,0.0000246,3,3
5.31E-05,4,4,,,,0.0000249,3,3
2.51E-05,5,5,,,,0.0000261,3,3
2.48E-05,2,2,,,,0.0000281,4,4
3.13E-05,5,5,,,,0.0000285,4,4
2.63E-05,4,4,,,,0.0000282,4,4
2.48E-05,1,1,,,,0.0000438,4,4
2.99E-05,2,2,,,,0.0000291,4,4
2.47E-05,1,1,,,,0.0003002,4,4
2.48E-05,0,0,,,,0.0000392,4,4
2.47E-05,7,7,,,,0.0000426,4,4
2.47E-05,6,6,,,,0.0000331,4,4
2.47E-05,6,6,,,,0.0000372,4,4
2.51E-05,5,5,,,,0.0000246,4,4
2.45E-05,4,4,,,,0.0000247,4,4
2.48E-05,2,2,,,,0.0000243,4,4
2.48E-05,1,1,,,,0.0000262,4,4
3.56E-05,4,4,,,,0.0000263,4,4
2.57E-05,4,4,,,,0.0000274,4,4
2.56E-05,3,3,,,,0.0000531,4,4
2.47E-05,5,5,,,,0.0000263,4,4
2.47E-05,3,3,,,,0.0000245,4,4
2.47E-05,4,4,,,,0.0000356,4,4
2.46E-05,5,5,,,,0.0000257,4,4
2.48E-05,4,4,,,,0.0000247,4,4
0.000203,5,5,,,,0.0000248,4,4
2.47E-05,2,2,,,,0.0000266,4,4
2.47E-05,0,0,,,,0.0000336,4,4
2.52E-05,0,0,,,,0.000027,4,4
2.47E-05,1,1,,,,0.0000245,4,4
2.49E-05,3,3,,,,0.0000262,4,4
2.47E-05,3,3,,,,0.0000404,4,4
2.47E-05,6,6,,,,0.0000258,4,4
3.15E-05,7,7,,,,0.0000258,4,4
3.05E-05,7,7,,,,0.0000397,4,4
2.62E-05,6,6,,,,0.0000249,4,4
2.51E-05,6,6,,,,0.0000349,4,4
2.45E-05,5,5,,,,0.0000332,4,4
2.64E-05,5,5,,,,0.0000249,4,4
2.49E-05,6,6,,,,0.0000247,4,4
