cas operacie,index prvku,dlzka zoznamu,,
1.89E-05,42,63,,
1.86E-05,7,64,,
1.90E-05,7,63,,
1.80E-05,58,62,,
1.89E-05,37,60,,
1.90E-05,26,58,,
2.00E-05,15,56,,
2.16E-05,41,55,,
1.80E-05,41,50,,
2.31E-05,35,50,,
1.87E-05,36,52,,
1.85E-05,32,51,,
1.82E-05,37,50,,
1.88E-05,30,46,,
1.79E-05,43,45,,
1.83E-05,40,45,,
1.87E-05,32,46,,
1.87E-05,22,42,,
1.81E-05,1,41,,
1.83E-05,36,40,,
1.81E-05,28,40,,
1.79E-05,3,38,,
1.99E-05,31,41,,
2.31E-05,7,46,,
1.96E-05,38,47,,
1.81E-05,7,50,,
1.83E-05,37,54,,
1.97E-05,30,53,,
2.02E-05,33,54,,
3.17E-05,2,58,,
2.02E-05,22,57,,
1.82E-05,58,59,,
1.83E-05,12,62,,
1.83E-05,49,62,,
1.84E-05,16,65,,
2.23E-05,6,64,,
1.85E-05,14,61,,
1.79E-05,5,62,,
1.79E-05,60,64,,
1.88E-05,28,65,,
1.92E-05,35,66,,
1.94E-05,38,67,,
1.81E-05,10,66,,
1.95E-05,26,64,,
1.87E-05,45,63,,
1.80E-05,57,61,,
1.85E-05,39,62,,
1.83E-05,45,62,,
1.87E-05,40,59,,
1.91E-05,23,59,,
1.81E-05,45,57,,
2.10E-05,53,58,,
1.85E-05,20,59,,
1.94E-05,44,52,,
3.25E-05,48,53,,
1.83E-05,12,52,,
1.89E-05,24,52,,
2.37E-05,13,52,,
1.88E-05,23,52,,
1.85E-05,9,53,,
1.81E-05,9,54,,
2.41E-05,33,52,,
1.80E-05,2,50,,
1.84E-05,44,51,,
1.94E-05,18,50,,
1.91E-05,13,50,,
1.99E-05,35,50,,
1.94E-05,39,49,,
2.78E-05,6,47,,
2.31E-05,20,46,,
1.93E-05,22,46,,
1.85E-05,10,45,,
1.83E-05,12,44,,
1.97E-05,15,43,,
0.0001129,22,42,,
2.40E-05,14,41,,
2.08E-05,34,41,,
1.85E-05,1,40,,
1.81E-05,6,42,,
1.85E-05,4,45,,
1.82E-05,8,45,,
1.83E-05,27,44,,
1.97E-05,7,43,,
1.83E-05,6,44,,
1.03E-05,0,46,,
1.86E-05,27,49,,
2.55E-05,26,45,,
1.92E-05,22,49,,
1.86E-05,5,48,,
1.81E-05,10,49,,
1.84E-05,13,48,,
1.85E-05,28,42,,
1.90E-05,35,43,,
1.82E-05,8,43,,
2.55E-05,32,42,,
1.88E-05,29,47,,
1.05E-05,0,46,,
1.85E-05,32,46,,
1.81E-05,7,44,,
1.85E-05,17,42,,
1.89E-05,19,40,,
1.81E-05,32,39,,
1.82E-05,1,43,,
1.79E-05,37,39,,
1.82E-05,29,38,,
1.95E-05,51,52,,
1.81E-05,1,48,,
1.99E-05,43,49,,
2.01E-05,29,48,,
2.50E-05,33,49,,
1.91E-05,4,48,,
1.96E-05,16,47,,
1.98E-05,31,46,,
2.61E-05,5,49,,
1.17E-05,0,49,,
1.92E-05,36,49,,
1.50E-05,0,55,,
2.99E-05,39,54,,
2.92E-05,23,53,,
2.80E-05,18,59,,
2.39E-05,30,63,,
2.00E-05,37,64,,
2.89E-05,28,60,,
2.74E-05,59,60,,
1.98E-05,14,62,,
1.91E-05,57,65,,
1.15E-05,0,65,,
3.14E-05,19,70,,
1.85E-05,53,69,,
1.91E-05,44,65,,
1.88E-05,12,65,,
1.84E-05,10,64,,
1.85E-05,44,65,,
1.79E-05,58,62,,
1.82E-05,58,65,,
1.78E-05,59,64,,
1.84E-05,48,65,,
1.80E-05,58,65,,
1.84E-05,54,64,,
2.07E-05,28,61,,
1.93E-05,22,61,,
1.91E-05,28,64,,
2.43E-05,8,61,,
1.90E-05,64,65,,
2.00E-05,42,64,,
1.88E-05,4,63,,
1.99E-05,21,65,,
