cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
4.77E-05,4,9,10,,,,
1.84E-05,14,8,9,,,,
1.79E-05,43,8,9,,,,
1.80E-05,4,10,11,,,,
1.80E-05,35,8,9,,,,
1.95E-05,4,5,6,,,,
3.23E-05,30,8,9,,,,
2.28E-05,31,0,1,,,,
2.61E-05,43,6,7,,,,
1.82E-05,17,7,8,,,,
1.93E-05,4,12,13,,,,
1.85E-05,10,12,13,,,,
1.86E-05,30,10,11,,,,
1.79E-05,45,10,11,,,,
2.64E-05,30,10,11,,,,
1.86E-05,14,11,12,,,,
2.09E-05,18,14,15,,,,
1.79E-05,22,13,14,,,,
1.80E-05,28,11,12,,,,
1.78E-05,5,5,6,,,,
1.81E-05,23,10,11,,,,
1.70E-05,11,9,10,,,,
1.70E-05,40,7,8,,,,
1.78E-05,12,8,9,,,,
1.72E-05,14,11,12,,,,
1.72E-05,43,8,9,,,,
1.74E-05,41,10,11,,,,
1.72E-05,35,11,12,,,,
1.73E-05,43,10,11,,,,
2.18E-05,19,15,16,,,,
1.69E-05,23,15,16,,,,
1.73E-05,45,17,18,,,,
1.83E-05,28,16,17,,,,
1.73E-05,21,18,19,,,,
1.69E-05,24,21,22,,,,
1.71E-05,31,22,23,,,,
1.72E-05,42,22,23,,,,
1.70E-05,8,20,21,,,,
2.10E-05,15,17,18,,,,
2.22E-05,31,15,16,,,,
1.77E-05,31,13,14,,,,
3.27E-05,19,14,15,,,,
1.82E-05,24,14,15,,,,
1.80E-05,25,15,16,,,,
1.81E-05,26,14,15,,,,
1.79E-05,4,14,15,,,,
2.28E-05,38,15,16,,,,
1.71E-05,17,16,17,,,,
1.71E-05,37,18,19,,,,
1.70E-05,23,13,14,,,,
1.70E-05,25,9,10,,,,
1.71E-05,45,10,11,,,,
1.71E-05,6,11,12,,,,
1.70E-05,11,12,13,,,,
3.81E-05,43,10,11,,,,
1.80E-05,33,8,9,,,,
2.17E-05,43,8,9,,,,
1.76E-05,7,7,8,,,,
1.73E-05,14,8,9,,,,
1.71E-05,15,6,7,,,,
1.71E-05,43,4,5,,,,
1.71E-05,28,3,4,,,,
1.71E-05,18,3,4,,,,
1.76E-05,41,4,5,,,,
1.72E-05,9,5,6,,,,
2.14E-05,4,4,5,,,,
1.73E-05,12,2,3,,,,
1.70E-05,43,1,2,,,,
1.71E-05,42,0,1,,,,
2.21E-05,22,0,1,,,,
1.73E-05,1,2,3,,,,
1.72E-05,5,3,4,,,,
1.70E-05,31,4,5,,,,
1.73E-05,35,5,6,,,,
1.70E-05,16,6,7,,,,
1.70E-05,19,7,8,,,,
2.31E-05,9,10,11,,,,
1.71E-05,43,10,11,,,,
1.72E-05,4,6,7,,,,
1.82E-05,17,5,6,,,,
1.74E-05,34,5,6,,,,
1.71E-05,4,7,8,,,,
1.70E-05,32,5,6,,,,
1.71E-05,38,5,6,,,,
2.11E-05,10,6,7,,,,
1.72E-05,45,7,8,,,,
1.71E-05,45,8,9,,,,
1.72E-05,12,8,9,,,,
1.86E-05,31,10,11,,,,
1.72E-05,31,10,11,,,,
1.72E-05,31,10,11,,,,
1.71E-05,6,10,11,,,,
2.27E-05,11,12,13,,,,
1.72E-05,29,11,12,,,,
1.71E-05,24,14,15,,,,
1.72E-05,1,16,17,,,,
1.72E-05,34,6,7,,,,
1.70E-05,19,8,9,,,,
1.70E-05,26,7,8,,,,
3.94E-05,15,6,7,,,,
3.88E-05,24,6,7,,,,
2.28E-05,31,1,2,,,,
2.24E-05,15,0,1,,,,
1.85E-05,30,1,2,,,,
1.81E-05,28,1,2,,,,
1.84E-05,14,0,1,,,,
1.80E-05,18,7,8,,,,
1.80E-05,21,8,9,,,,
1.81E-05,19,5,6,,,,
1.79E-05,10,6,7,,,,
1.81E-05,13,9,10,,,,
2.42E-05,9,6,7,,,,
3.20E-05,2,7,8,,,,
4.78E-05,38,7,8,,,,
1.74E-05,8,5,6,,,,
1.69E-05,1,4,5,,,,
1.72E-05,8,1,2,,,,
1.69E-05,31,1,2,,,,
1.73E-05,4,1,2,,,,
2.37E-05,31,4,5,,,,
1.94E-05,32,5,6,,,,
1.70E-05,44,4,5,,,,
1.80E-05,7,6,7,,,,
1.80E-05,26,7,8,,,,
1.78E-05,27,7,8,,,,
1.82E-05,45,1,2,,,,
1.82E-05,12,0,1,,,,
1.76E-05,11,1,2,,,,
1.71E-05,16,5,6,,,,
1.72E-05,32,5,6,,,,
1.71E-05,37,8,9,,,,
2.31E-05,6,12,13,,,,
6.69E-05,4,12,13,,,,
2.31E-05,44,13,14,,,,
1.88E-05,8,14,15,,,,
1.70E-05,2,15,16,,,,
1.70E-05,39,13,14,,,,
1.70E-05,33,14,15,,,,
1.85E-05,40,16,17,,,,
3.09E-05,40,17,18,,,,
2.16E-05,11,18,19,,,,
1.70E-05,2,21,22,,,,
1.75E-05,36,23,24,,,,
1.72E-05,18,24,25,,,,
1.71E-05,33,24,25,,,,
1.70E-05,27,25,26,,,,
1.71E-05,41,26,27,,,,
1.69E-05,16,27,28,,,,
1.79E-05,19,24,25,,,,
1.71E-05,14,23,24,,,,
1.72E-05,6,26,27,,,,
1.73E-05,27,27,28,,,,
1.72E-05,32,28,29,,,,
1.82E-05,11,27,28,,,,
2.19E-05,14,28,29,,,,
1.69E-05,29,25,26,,,,
1.72E-05,39,27,28,,,,
1.86E-05,44,24,25,,,,
1.72E-05,22,29,30,,,,
1.72E-05,5,27,28,,,,
1.72E-05,14,26,27,,,,
1.72E-05,36,22,23,,,,
1.71E-05,14,23,24,,,,
1.70E-05,31,23,24,,,,
2.31E-05,28,25,26,,,,
1.70E-05,18,24,25,,,,
1.71E-05,41,23,24,,,,
1.71E-05,32,26,27,,,,
1.70E-05,44,26,27,,,,
1.69E-05,39,27,28,,,,
2.00E-05,11,27,28,,,,
1.80E-05,7,30,31,,,,
1.75E-05,42,28,29,,,,
1.71E-05,43,29,30,,,,
1.70E-05,28,31,32,,,,
1.74E-05,20,39,40,,,,
1.73E-05,40,41,42,,,,
1.81E-05,25,41,42,,,,
1.74E-05,29,41,42,,,,
1.74E-05,36,43,44,,,,
1.72E-05,20,42,43,,,,
1.79E-05,3,43,44,,,,
1.69E-05,35,43,44,,,,
1.72E-05,29,44,45,,,,
2.25E-05,7,45,46,,,,
1.71E-05,13,41,42,,,,
1.71E-05,41,39,40,,,,
1.74E-05,27,40,41,,,,
1.69E-05,12,41,42,,,,
1.70E-05,27,37,38,,,,
1.78E-05,7,33,34,,,,
2.31E-05,39,32,33,,,,
1.70E-05,5,32,33,,,,
1.71E-05,32,30,31,,,,
1.71E-05,32,30,31,,,,
1.71E-05,33,31,32,,,,
1.74E-05,37,31,32,,,,
1.74E-05,9,25,26,,,,
1.81E-05,1,27,28,,,,
1.73E-05,40,26,27,,,,
1.72E-05,26,25,26,,,,
1.72E-05,22,27,28,,,,
1.74E-05,11,29,30,,,,
1.71E-05,16,33,34,,,,
1.72E-05,41,34,35,,,,
1.71E-05,5,39,40,,,,
1.71E-05,15,39,40,,,,
1.85E-05,6,39,40,,,,
2.35E-05,28,39,40,,,,
1.71E-05,13,37,38,,,,
1.70E-05,31,38,39,,,,
1.89E-05,18,40,41,,,,
1.74E-05,6,41,42,,,,
1.71E-05,7,42,43,,,,
1.72E-05,22,44,45,,,,
1.71E-05,28,45,46,,,,
1.71E-05,11,44,45,,,,
1.70E-05,32,44,45,,,,
1.70E-05,44,42,43,,,,
1.71E-05,40,41,42,,,,
1.71E-05,25,39,40,,,,
1.70E-05,32,41,42,,,,
1.71E-05,12,39,40,,,,
1.71E-05,38,41,42,,,,
2.51E-05,43,42,43,,,,
1.70E-05,24,37,38,,,,
1.75E-05,8,38,39,,,,
1.71E-05,36,40,41,,,,
2.00E-05,6,39,40,,,,
1.73E-05,2,37,38,,,,
1.72E-05,27,39,40,,,,
1.80E-05,7,37,38,,,,
