cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.73E-05,93,4,10,,,,,0.0000176,93,10,24
1.73E-05,93,4,13,,,,,0.0000174,91,9,24
1.73E-05,93,4,9,,,,,0.0000171,94,1,24
1.92E-05,94,3,5,,,,,0.0000177,94,9,24
1.78E-05,94,3,5,,,,,0.0000193,91,18,24
1.74E-05,94,5,12,,,,,0.0000179,94,14,24
1.77E-05,95,9,15,,,,,0.0000188,92,18,24
1.74E-05,91,2,8,,,,,0.0000175,91,14,25
1.99E-05,92,4,6,,,,,0.000023,95,8,25
1.73E-05,95,3,14,,,,,0.0000234,94,18,25
1.73E-05,93,7,12,,,,,0.0000186,94,8,25
1.71E-05,91,0,13,,,,,0.0000174,95,8,25
1.79E-05,93,10,18,,,,,0.0000176,95,14,25
2.14E-05,92,0,13,,,,,0.0000215,91,12,25
1.78E-05,95,9,13,,,,,0.0000174,93,8,25
1.73E-05,95,5,18,,,,,0.0000173,91,1,25
1.74E-05,94,6,17,,,,,0.0000178,92,21,25
1.75E-05,92,3,21,,,,,0.0000178,93,8,25
1.79E-05,91,20,22,,,,,0.0000175,94,10,26
2.33E-05,94,6,21,,,,,0.0000183,94,22,26
2.68E-05,95,2,21,,,,,0.0000188,91,13,26
1.93E-05,92,9,19,,,,,0.0000173,92,0,26
2.17E-05,93,6,19,,,,,0.00002,94,10,26
1.80E-05,92,18,22,,,,,0.0000178,94,23,26
1.77E-05,94,15,21,,,,,0.0000186,94,17,26
1.82E-05,94,11,18,,,,,0.0000199,91,12,26
1.79E-05,92,4,20,,,,,0.0000172,94,7,26
1.71E-05,91,0,15,,,,,0.000018,95,24,26
1.74E-05,95,11,13,,,,,0.0000178,92,15,26
1.90E-05,95,10,13,,,,,0.0000178,91,15,26
1.82E-05,94,1,15,,,,,0.0000172,93,0,26
1.90E-05,93,19,21,,,,,0.0000185,93,23,27
1.88E-05,95,7,18,,,,,0.0000172,91,0,27
1.81E-05,95,0,16,,,,,0.0000176,93,10,27
1.76E-05,93,11,17,,,,,0.0000178,94,3,27
1.74E-05,95,5,14,,,,,0.0000204,95,19,27
1.77E-05,92,6,18,,,,,0.0000202,92,19,27
1.89E-05,94,43,49,,,,,0.0000189,91,18,27
1.82E-05,93,38,52,,,,,0.0000187,93,3,27
5.88E-05,95,17,61,,,,,0.0000175,94,14,27
2.62E-05,91,49,60,,,,,0.0000174,92,8,27
2.58E-05,94,56,59,,,,,0.0000186,95,11,27
1.94E-05,92,42,52,,,,,0.0000181,92,20,27
1.96E-05,95,64,69,,,,,0.0000182,91,25,27
1.86E-05,95,39,69,,,,,0.0000179,95,15,27
1.92E-05,95,57,72,,,,,0.0000181,93,23,28
1.77E-05,95,16,72,,,,,0.0000178,93,13,28
1.85E-05,91,38,60,,,,,0.0000188,92,19,28
1.73E-05,93,3,59,,,,,0.0000181,94,24,28
1.83E-05,94,23,60,,,,,0.0000179,93,25,28
1.90E-05,93,9,61,,,,,0.0000177,94,3,28
3.53E-05,93,55,61,,,,,0.0000176,95,7,28
1.90E-05,91,36,60,,,,,0.0000176,91,9,28
2.50E-05,91,7,56,,,,,0.0000189,94,21,28
4.09E-05,95,51,59,,,,,0.0000175,94,4,28
1.82E-05,94,6,47,,,,,0.0000177,93,5,28
1.83E-05,91,2,40,,,,,0.0000184,93,23,29
1.82E-05,91,6,40,,,,,0.0000198,91,11,29
1.96E-05,95,47,49,,,,,0.0000185,94,10,29
1.83E-05,93,4,54,,,,,0.0000321,94,5,29
1.98E-05,91,45,51,,,,,0.0000181,95,2,29
2.04E-05,91,23,58,,,,,0.0000314,93,27,29
1.88E-05,93,39,54,,,,,0.0000176,91,15,30
1.78E-05,95,4,52,,,,,0.0000173,94,0,30
1.86E-05,91,30,54,,,,,0.0000177,93,11,30
1.85E-05,94,34,51,,,,,0.0000186,94,10,30
1.95E-05,91,57,59,,,,,0.0000179,92,22,30
1.88E-05,95,48,59,,,,,0.0000174,93,5,30
1.92E-05,94,21,43,,,,,0.0000184,95,13,30
1.92E-05,93,24,45,,,,,0.0000227,91,23,30
1.79E-05,92,17,33,,,,,0.0000191,91,19,30
1.98E-05,91,11,29,,,,,0.0000207,93,13,31
1.81E-05,92,12,24,,,,,0.000018,95,18,31
1.81E-05,94,24,28,,,,,0.0000173,91,0,31
1.79E-05,93,25,28,,,,,0.0000182,92,1,31
1.76E-05,93,10,24,,,,,0.0000219,92,15,31
1.76E-05,92,5,15,,,,,0.0000173,95,3,31
1.73E-05,93,5,12,,,,,0.0000182,91,28,31
1.99E-05,91,0,7,,,,,0.000018,95,29,31
1.71E-05,94,1,3,,,,,0.0000173,91,6,31
1.75E-05,95,1,4,,,,,0.0000185,95,1,31
1.71E-05,93,4,6,,,,,0.0000185,91,9,32
1.72E-05,93,4,9,,,,,0.0000176,94,15,32
2.49E-05,91,9,11,,,,,0.0000175,91,6,32
1.74E-05,91,3,13,,,,,0.0000189,95,23,32
1.76E-05,92,9,13,,,,,0.000018,92,12,32
1.73E-05,93,12,14,,,,,0.0000186,95,6,32
1.72E-05,95,4,13,,,,,0.0000188,91,21,32
1.74E-05,91,5,9,,,,,0.0000761,91,1,33
1.74E-05,91,5,19,,,,,0.0000177,93,0,33
1.76E-05,93,18,22,,,,,0.0000179,93,19,33
2.35E-05,95,10,22,,,,,0.0000332,94,15,33
1.73E-05,94,0,30,,,,,0.0000179,91,13,33
1.78E-05,94,23,26,,,,,0.0000185,95,30,33
1.74E-05,91,9,24,,,,,0.0000179,92,17,33
1.71E-05,94,1,24,,,,,0.0000194,94,30,33
1.83E-05,93,2,21,,,,,0.0000185,92,11,33
3.00E-05,93,4,21,,,,,0.0000174,92,1,33
1.77E-05,93,11,30,,,,,0.0000182,94,29,34
1.77E-05,94,9,24,,,,,0.0000221,92,24,34
1.78E-05,93,8,16,,,,,0.0000184,95,15,34
1.74E-05,94,10,15,,,,,0.0000196,92,23,34
1.72E-05,91,6,15,,,,,0.0000176,93,3,34
1.74E-05,95,9,14,,,,,0.000027,93,25,34
1.78E-05,91,8,20,,,,,0.0000181,94,24,35
1.72E-05,93,4,17,,,,,0.0000171,95,0,35
1.77E-05,94,9,18,,,,,0.0000199,93,25,35
1.78E-05,94,12,14,,,,,0.000023,92,20,35
3.14E-05,91,8,11,,,,,0.0000182,94,24,35
1.72E-05,91,2,12,,,,,0.0000186,92,33,35
1.73E-05,91,7,11,,,,,0.0000188,92,3,35
1.76E-05,95,0,13,,,,,0.0000186,91,19,35
1.77E-05,92,15,17,,,,,0.0000183,91,9,35
2.46E-05,93,4,21,,,,,0.0000175,91,1,36
1.76E-05,95,9,22,,,,,0.0000195,92,21,36
