cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
7.00E-07,1,1,76,,,,,0.0000013,12,12,14
2.80E-06,32,32,78,,,,,0.0000011,10,10,14
6.00E-07,3,3,73,,,,,0.0000003,0,0,14
1.90E-06,24,24,72,,,,,0.0000009,4,4,14
2.70E-06,35,35,69,,,,,0.000001,9,9,14
3.10E-06,38,38,68,,,,,0.0000013,13,13,14
2.00E-06,16,16,67,,,,,0.0000008,6,6,14
2.10E-06,25,25,70,,,,,0.0000004,0,0,14
1.40E-06,14,14,65,,,,,0.0000012,12,12,14
9.00E-07,8,8,63,,,,,0.000001,2,2,14
1.30E-06,14,14,70,,,,,0.000001,7,7,14
2.90E-06,37,37,64,,,,,0.0000007,4,4,14
1.90E-06,22,22,62,,,,,0.0000014,13,13,14
6.00E-07,3,3,62,,,,,0.0000007,4,4,14
8.00E-07,5,5,58,,,,,0.0000005,1,1,14
2.40E-06,29,29,55,,,,,0.0000005,0,0,14
1.30E-06,14,14,53,,,,,0.0000004,1,1,14
1.80E-06,19,19,62,,,,,0.000001,7,7,14
1.20E-06,12,12,61,,,,,0.0000012,13,13,14
3.60E-06,51,51,61,,,,,0.0000004,0,0,14
1.70E-06,19,19,62,,,,,0.0000012,13,13,14
2.60E-06,30,30,65,,,,,0.0000005,2,2,14
1.60E-06,9,9,73,,,,,0.0000007,5,5,14
7.00E-07,4,4,75,,,,,0.0000009,8,8,14
4.90E-06,58,58,75,,,,,0.0000006,0,0,14
4.80E-06,67,67,72,,,,,0.0000011,9,9,14
9.00E-07,0,0,78,,,,,0.000001,10,10,14
9.00E-07,3,3,60,,,,,0.0000005,2,2,14
2.10E-06,24,24,62,,,,,0.0000005,2,2,14
4.00E-07,1,1,57,,,,,0.0000012,8,8,14
1.70E-06,16,16,59,,,,,0.0000007,1,1,14
4.10E-06,51,51,55,,,,,0.0000007,4,4,15
4.00E-07,0,0,62,,,,,0.0000014,11,11,15
1.00E-06,9,9,61,,,,,0.0000009,8,8,15
6.00E-07,2,2,63,,,,,0.0000013,12,12,15
3.70E-06,48,48,65,,,,,0.0000006,3,3,15
1.00E-06,10,10,67,,,,,0.0000011,10,10,15
2.40E-06,29,29,56,,,,,0.0000019,10,10,15
6.00E-07,2,2,56,,,,,0.0000006,3,3,15
1.30E-06,12,12,56,,,,,0.0000018,13,13,15
1.40E-06,13,13,54,,,,,0.0000009,7,7,15
4.20E-06,56,56,60,,,,,0.0000015,14,14,15
1.70E-06,15,15,64,,,,,0.0000007,4,4,15
7.00E-07,4,4,57,,,,,0.0000008,5,5,15
3.90E-06,50,50,58,,,,,0.0000005,0,0,15
1.10E-06,12,12,56,,,,,0.0000006,4,4,15
1.20E-06,13,13,54,,,,,0.0000013,13,13,15
3.50E-06,37,37,53,,,,,0.0000013,13,13,15
4.70E-06,38,38,51,,,,,0.000001,9,9,15
1.70E-06,13,13,54,,,,,0.0000012,8,8,15
1.50E-06,12,12,55,,,,,0.0000012,13,13,15
2.10E-06,22,22,59,,,,,0.000001,7,7,15
1.70E-06,18,18,58,,,,,0.0000016,12,12,15
7.00E-07,2,2,56,,,,,0.000001,9,9,15
1.30E-06,13,13,47,,,,,0.0000008,5,5,15
7.00E-07,3,3,43,,,,,0.0000008,4,4,15
1.60E-06,15,15,42,,,,,0.000001,7,7,15
5.00E-07,0,0,40,,,,,0.0000004,1,1,15
1.10E-06,8,8,26,,,,,0.0000008,5,5,15
6.00E-07,4,4,23,,,,,0.000001,5,5,15
1.60E-06,18,18,22,,,,,0.0000008,4,4,15
9.00E-07,6,6,13,,,,,0.0000011,7,7,15
9.00E-07,7,7,10,,,,,0.0000004,0,0,15
9.00E-07,6,6,14,,,,,0.0000009,7,7,16
7.00E-07,5,5,11,,,,,0.0000008,5,5,16
1.00E-06,9,9,16,,,,,0.0000006,4,4,16
9.00E-07,7,7,17,,,,,0.0000006,4,4,16
2.50E-06,25,25,26,,,,,0.0000009,5,5,16
2.70E-06,17,17,39,,,,,0.0000007,2,2,16
1.10E-06,6,6,41,,,,,0.000001,9,9,16
2.30E-06,23,23,36,,,,,0.0000014,12,12,16
3.30E-06,37,37,38,,,,,0.0000006,1,1,16
3.20E-06,42,42,45,,,,,0.0000014,15,15,16
3.50E-06,42,42,43,,,,,0.0000012,12,12,16
5.00E-07,2,2,40,,,,,0.0000011,11,11,16
1.00E-06,6,6,38,,,,,0.000001,9,9,16
2.70E-06,22,22,25,,,,,0.0000014,4,4,16
2.20E-06,19,19,21,,,,,0.0000013,9,9,16
1.00E-06,9,9,23,,,,,0.0000014,13,13,16
1.10E-06,10,10,22,,,,,0.000001,8,8,16
1.40E-06,16,16,22,,,,,0.0000005,1,1,16
7.00E-07,3,3,21,,,,,0.0000009,7,7,16
8.00E-07,5,5,21,,,,,0.0000007,3,3,16
4.00E-07,1,1,26,,,,,0.0000004,0,0,16
1.10E-06,7,7,30,,,,,0.0000014,15,15,16
