cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet
0.0001264,7,16,59,,,
8.45E-05,26,31,55,,,
8.41E-05,22,47,56,,,
8.58E-05,10,34,56,,,
0.0001138,20,23,55,,,
8.49E-05,1,52,62,,,
8.46E-05,28,4,63,,,
0.0001189,10,42,63,,,
0.0001195,5,2,64,,,
8.42E-05,25,8,64,,,
8.38E-05,19,13,59,,,
8.70E-05,17,39,59,,,
8.52E-05,25,24,59,,,
8.41E-05,9,10,62,,,
8.41E-05,11,30,62,,,
8.37E-05,19,38,59,,,
0.0001054,4,19,58,,,
8.41E-05,16,23,54,,,
8.52E-05,35,30,55,,,
8.53E-05,30,2,56,,,
8.29E-05,17,44,58,,,
8.34E-05,34,45,60,,,
8.32E-05,21,59,62,,,
8.61E-05,12,49,64,,,
8.42E-05,30,12,66,,,
8.38E-05,8,28,67,,,
8.66E-05,24,34,58,,,
0.000149,27,37,59,,,
8.47E-05,9,54,56,,,
8.40E-05,21,41,58,,,
8.53E-05,27,4,58,,,
8.52E-05,14,49,58,,,
8.36E-05,16,12,54,,,
8.39E-05,22,0,55,,,
8.40E-05,14,45,56,,,
0.0001344,29,12,58,,,
0.0001678,33,25,59,,,
8.47E-05,14,52,59,,,
8.52E-05,34,15,58,,,
8.48E-05,28,43,58,,,
8.50E-05,15,55,59,,,
8.42E-05,31,38,58,,,
9.03E-05,12,40,59,,,
8.40E-05,5,25,61,,,
8.45E-05,31,43,59,,,
8.36E-05,10,53,63,,,
8.70E-05,32,28,54,,,
8.32E-05,14,38,54,,,
8.36E-05,2,30,45,,,
8.38E-05,24,40,44,,,
8.39E-05,20,18,45,,,
8.40E-05,21,9,47,,,
8.43E-05,2,32,47,,,
8.39E-05,21,36,46,,,
8.36E-05,15,32,45,,,
0.0001228,13,44,47,,,
8.37E-05,15,39,47,,,
8.40E-05,20,24,44,,,
8.36E-05,19,12,45,,,
0.0001274,7,14,44,,,
0.0001197,33,25,45,,,
8.30E-05,32,37,44,,,
8.30E-05,21,14,39,,,
8.34E-05,4,21,40,,,
8.30E-05,4,10,41,,,
8.82E-05,26,18,42,,,
8.40E-05,26,30,43,,,
8.46E-05,32,29,44,,,
8.35E-05,7,20,44,,,
8.33E-05,33,10,45,,,
8.35E-05,1,20,44,,,
8.35E-05,13,10,45,,,
8.43E-05,19,10,48,,,
0.0001052,21,34,51,,,
8.30E-05,4,33,48,,,
8.43E-05,31,2,52,,,
8.40E-05,20,21,53,,,
8.39E-05,10,10,53,,,
8.36E-05,13,53,57,,,
8.38E-05,22,2,59,,,
8.38E-05,27,8,60,,,
8.38E-05,35,47,62,,,
8.82E-05,16,35,63,,,
0.0001076,19,47,63,,,
8.39E-05,1,19,65,,,
8.40E-05,12,44,63,,,
0.0001102,21,54,64,,,
8.47E-05,34,10,63,,,
8.37E-05,29,54,64,,,
8.37E-05,35,58,61,,,
8.51E-05,25,51,62,,,
9.05E-05,32,36,60,,,
8.50E-05,3,47,62,,,
9.52E-05,1,28,59,,,
8.41E-05,13,33,60,,,
8.37E-05,1,8,59,,,
8.58E-05,10,56,61,,,
8.55E-05,33,40,62,,,
8.34E-05,15,32,62,,,
8.38E-05,26,37,63,,,
8.50E-05,31,52,63,,,
9.16E-05,19,37,63,,,
8.38E-05,5,24,66,,,
8.37E-05,14,56,66,,,
0.0001312,8,5,69,,,
8.40E-05,27,60,69,,,
8.37E-05,3,64,67,,,
9.92E-05,12,31,62,,,
0.0001204,19,5,63,,,
8.54E-05,27,4,64,,,
8.98E-05,28,23,66,,,
8.42E-05,9,11,69,,,
8.43E-05,10,64,70,,,
8.35E-05,4,25,71,,,
8.38E-05,2,30,71,,,
8.40E-05,6,57,68,,,
8.55E-05,21,7,68,,,
9.22E-05,2,65,67,,,
8.92E-05,28,30,69,,,
8.58E-05,1,45,68,,,
8.58E-05,28,28,68,,,
9.23E-05,19,51,61,,,
8.44E-05,30,10,62,,,
8.36E-05,28,25,63,,,
0.0001124,18,42,65,,,
0.0001186,10,15,67,,,
8.47E-05,19,31,71,,,
8.51E-05,10,36,71,,,
8.45E-05,24,22,67,,,
8.44E-05,10,23,68,,,
8.44E-05,21,32,67,,,
8.40E-05,23,57,67,,,
8.49E-05,27,69,72,,,
8.47E-05,18,25,71,,,
8.47E-05,11,6,72,,,
0.0001983,35,22,70,,,
0.0001202,2,26,71,,,
8.39E-05,32,40,68,,,
8.39E-05,34,14,70,,,
8.39E-05,33,34,72,,,
8.37E-05,8,16,73,,,
0.000109,35,28,68,,,
8.49E-05,17,47,72,,,
8.35E-05,15,20,73,,,
8.42E-05,18,55,74,,,
9.77E-05,15,56,75,,,
8.58E-05,3,41,76,,,
8.40E-05,25,31,77,,,
8.36E-05,22,39,76,,,
9.16E-05,22,36,77,,,
8.33E-05,27,49,78,,,
8.41E-05,30,47,78,,,
8.30E-05,28,58,76,,,
8.26E-05,3,44,76,,,
8.46E-05,12,69,78,,,
8.65E-05,10,79,81,,,
8.38E-05,32,1,80,,,
8.38E-05,2,62,71,,,
8.43E-05,8,14,70,,,
8.46E-05,21,21,58,,,
8.40E-05,11,0,54,,,
8.40E-05,29,30,52,,,
8.40E-05,13,36,53,,,
0.0001283,35,26,52,,,
8.48E-05,10,1,46,,,
8.38E-05,28,8,34,,,
8.47E-05,16,14,36,,,
8.45E-05,33,16,32,,,
8.57E-05,16,4,33,,,
0.0001142,15,5,34,,,
0.0002107,29,25,32,,,
8.34E-05,15,2,33,,,
8.47E-05,10,14,28,,,
0.0001544,24,8,29,,,
8.38E-05,23,27,30,,,
8.41E-05,35,15,30,,,
8.57E-05,35,17,30,,,
0.0001211,12,6,31,,,
0.0001519,18,10,32,,,
8.44E-05,21,23,32,,,
8.34E-05,8,7,31,,,
8.35E-05,23,22,31,,,
9.14E-05,17,19,29,,,
8.37E-05,20,14,30,,,
8.37E-05,10,7,30,,,
8.43E-05,11,15,27,,,
8.38E-05,9,13,28,,,
8.34E-05,15,12,28,,,
8.40E-05,22,20,32,,,
8.44E-05,1,15,37,,,
8.38E-05,7,0,39,,,
8.34E-05,5,14,40,,,
8.34E-05,2,31,41,,,
9.21E-05,28,10,40,,,
8.45E-05,2,24,39,,,
8.41E-05,26,35,39,,,
8.39E-05,14,7,40,,,
8.38E-05,4,37,40,,,
8.43E-05,4,17,40,,,
8.39E-05,8,26,41,,,
