cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.000167,6,6,31,,,,
0.0002224,9,9,33,,,,
0.000289,12,12,31,,,,
0.0001117,4,4,33,,,,
0.0001835,7,7,32,,,,
0.0006461,28,28,32,,,,
0.0001342,5,5,27,,,,
0.0006587,28,28,29,,,,
0.0001126,4,4,29,,,,
0.0002009,8,8,28,,,,
0.0005638,24,24,30,,,,
0.0005745,23,23,31,,,,
0.0002674,11,11,31,,,,
0.0002879,12,12,31,,,,
0.0001556,6,6,29,,,,
0.0004682,20,20,29,,,,
0.000466,19,19,27,,,,
0.0005121,22,22,27,,,,
2.28E-05,0,0,31,,,,
0.0005593,24,24,39,,,,
0.0007441,16,16,39,,,,
0.0001826,3,3,40,,,,
0.0008327,35,35,40,,,,
0.0008231,34,34,41,,,,
2.27E-05,0,0,40,,,,
0.0007616,33,33,39,,,,
8.88E-05,3,3,40,,,,
6.76E-05,2,2,40,,,,
0.000178,7,7,40,,,,
0.0001786,7,7,43,,,,
0.000156,6,6,48,,,,
0.0001786,7,7,48,,,,
0.0004885,21,21,50,,,,
0.0007207,18,18,49,,,,
0.000361,15,15,48,,,,
0.0006199,17,17,48,,,,
0.000619,26,26,51,,,,
0.0001545,6,6,50,,,,
8.95E-05,3,3,50,,,,
0.0008635,38,38,50,,,,
2.26E-05,0,0,51,,,,
0.0002447,10,10,49,,,,
6.74E-05,2,2,50,,,,
0.000335,14,14,48,,,,
0.0006307,27,27,48,,,,
0.0003003,10,10,48,,,,
0.0004467,19,19,45,,,,
0.000512,22,22,42,,,,
0.0008873,39,39,43,,,,
0.0003561,15,15,45,,,,
0.000451,13,13,46,,,,
0.0001776,7,7,39,,,,
0.0004507,19,19,39,,,,
0.000772,32,32,39,,,,
0.0002223,9,9,39,,,,
0.0004069,17,17,37,,,,
0.0005108,21,21,37,,,,
0.0002234,9,9,36,,,,
0.0002903,12,12,34,,,,
0.0001774,7,7,34,,,,
0.0004431,19,19,41,,,,
0.000798,33,33,39,,,,
0.0001357,5,5,38,,,,
0.000801,35,35,41,,,,
0.0002212,9,9,40,,,,
0.0004994,20,20,43,,,,
0.0001113,4,4,42,,,,
0.0009074,40,40,41,,,,
0.0006003,26,26,42,,,,
0.0002453,10,10,43,,,,
4.57E-05,1,1,47,,,,
0.0004434,19,19,46,,,,
0.0002212,9,9,44,,,,
0.0003995,17,17,44,,,,
2.27E-05,0,0,44,,,,
0.000222,9,9,43,,,,
0.000444,18,18,41,,,,
0.0009367,30,30,37,,,,
0.0003708,12,12,37,,,,
0.0003967,17,17,27,,,,
2.26E-05,0,0,26,,,,
0.0003341,11,11,26,,,,
6.68E-05,2,2,25,,,,
2.26E-05,0,0,25,,,,
0.0003742,16,16,25,,,,
0.0003411,14,14,23,,,,
0.0005027,17,17,20,,,,
2.29E-05,0,0,16,,,,
2.28E-05,0,0,18,,,,
0.0001559,6,6,18,,,,
0.0001999,8,8,19,,,,
0.0002007,8,8,19,,,,
0.0001779,7,7,18,,,,
0.0002444,10,10,23,,,,
0.0003595,15,15,23,,,,
8.92E-05,3,3,23,,,,
0.0002871,12,12,20,,,,
0.0004221,18,18,20,,,,
0.0001229,3,3,23,,,,
0.0008733,20,20,23,,,,
2.76E-05,0,0,18,,,,
0.0001556,6,6,20,,,,
0.0001554,6,6,19,,,,
0.000198,8,8,16,,,,
0.0003527,15,15,16,,,,
0.0002672,11,11,14,,,,
0.0003715,15,15,20,,,,
0.0001524,5,5,21,,,,
0.0001784,7,7,20,,,,
0.0001888,7,7,18,,,,
0.0003086,13,13,15,,,,
6.79E-05,2,2,15,,,,
0.0001342,5,5,18,,,,
8.93E-05,3,3,18,,,,
0.000134,5,5,16,,,,
6.76E-05,2,2,18,,,,
0.0003094,13,13,16,,,,
0.0002758,6,6,19,,,,
6.74E-05,2,2,10,,,,
0.0002004,8,8,10,,,,
0.0002254,5,5,11,,,,
2.28E-05,0,0,11,,,,
0.0001787,7,7,10,,,,
0.0001564,6,6,9,,,,
9.07E-05,3,3,10,,,,
