cas operacie,vybrane cislo,velkost frontu,,,,,,,
2.91E-05,35,3,,,,,0.0000336,30,13
3.38E-05,21,9,,,,,0.0000278,29,13
2.90E-05,32,8,,,,,0.0000274,34,13
3.96E-05,32,9,,,,,0.000029,19,13
2.80E-05,31,11,,,,,0.0000462,7,13
2.94E-05,9,10,,,,,0.000046,3,13
4.39E-05,2,10,,,,,0.0000378,22,13
2.93E-05,13,9,,,,,0.0000293,1,13
2.93E-05,28,8,,,,,0.0000295,31,13
2.93E-05,2,7,,,,,0.0000293,7,13
3.34E-05,3,7,,,,,0.0000326,24,13
2.89E-05,2,6,,,,,0.000033,24,13
2.91E-05,5,5,,,,,0.0000291,4,13
2.90E-05,12,4,,,,,0.0000288,17,13
3.42E-05,7,3,,,,,0.0000292,6,14
3.73E-05,18,2,,,,,0.0000294,27,14
3.03E-05,19,1,,,,,0.0000288,23,14
2.92E-05,22,2,,,,,0.0000419,28,14
2.78E-05,34,2,,,,,0.0000396,19,14
2.91E-05,15,1,,,,,0.00003,29,14
2.91E-05,32,7,,,,,0.0000294,31,14
2.88E-05,24,6,,,,,0.0000288,10,14
2.75E-05,27,8,,,,,0.0000291,34,14
0.0002873,19,7,,,,,0.0000277,35,14
3.09E-05,3,7,,,,,0.0000295,35,14
2.89E-05,14,6,,,,,0.0000289,34,14
2.95E-05,23,5,,,,,0.0000288,35,14
0.0001003,19,7,,,,,0.0000296,18,14
2.97E-05,17,9,,,,,0.0000294,9,14
4.16E-05,26,9,,,,,0.0000296,3,14
2.95E-05,16,9,,,,,0.0000278,7,14
2.92E-05,26,10,,,,,0.0000297,15,14
2.88E-05,23,9,,,,,0.0000291,23,14
3.29E-05,10,8,,,,,0.0000295,19,14
2.94E-05,32,7,,,,,0.0000289,31,14
2.89E-05,14,6,,,,,0.0000377,20,15
2.90E-05,13,5,,,,,0.00003,7,15
2.94E-05,9,8,,,,,0.0000339,3,15
2.91E-05,11,7,,,,,0.0000292,14,15
3.00E-05,23,7,,,,,0.0000291,5,15
2.90E-05,33,6,,,,,0.000029,1,15
2.92E-05,31,6,,,,,0.000029,6,15
4.14E-05,12,6,,,,,0.0000287,35,15
2.90E-05,21,7,,,,,0.000037,25,15
2.95E-05,33,7,,,,,0.0000375,29,15
3.31E-05,8,6,,,,,0.0000295,6,15
2.91E-05,9,8,,,,,0.0000288,11,15
2.94E-05,7,8,,,,,0.0000294,1,15
2.93E-05,4,8,,,,,0.0000392,33,15
2.91E-05,18,8,,,,,0.0000294,2,15
2.94E-05,35,7,,,,,0.0000289,3,15
2.90E-05,7,8,,,,,0.0000294,21,15
2.91E-05,34,8,,,,,0.000029,10,15
2.93E-05,26,7,,,,,0.0000289,12,15
2.94E-05,8,6,,,,,0.0000288,33,15
2.93E-05,18,5,,,,,0.0000347,2,16
2.89E-05,31,4,,,,,0.0000341,29,16
2.95E-05,2,7,,,,,0.0000293,31,16
3.33E-05,1,6,,,,,0.0000291,32,16
2.91E-05,34,5,,,,,0.0000287,26,16
2.90E-05,3,5,,,,,0.0000289,32,16
2.92E-05,34,4,,,,,0.0000291,30,16
0.0001005,3,4,,,,,0.000033,1,16
2.84E-05,20,6,,,,,0.0000334,14,16
2.91E-05,19,5,,,,,0.0000294,24,16
2.95E-05,27,5,,,,,0.0000382,31,16
2.98E-05,6,5,,,,,0.0000293,13,16
2.92E-05,7,4,,,,,0.0000279,24,16
0.0002749,14,10,,,,,0.0000289,17,17
0.0005155,25,9,,,,,0.0000291,26,17
4.04E-05,26,8,,,,,0.0000385,27,17
3.84E-05,8,7,,,,,0.0000433,24,17
3.95E-05,22,6,,,,,0.0000383,17,17
4.22E-05,35,5,,,,,0.0000335,8,17
8.54E-05,32,7,,,,,0.0000295,23,17
2.78E-05,33,8,,,,,0.0000384,23,17
2.91E-05,2,7,,,,,0.0000288,23,17
4.41E-05,22,6,,,,,0.0000292,10,17
3.03E-05,23,5,,,,,0.0000279,29,18
2.97E-05,30,5,,,,,0.0000313,23,18
2.90E-05,5,5,,,,,0.0000293,9,18
3.93E-05,17,8,,,,,0.000042,34,18
2.90E-05,30,8,,,,,0.0001204,35,18
2.90E-05,20,8,,,,,0.000041,27,18
2.93E-05,3,11,,,,,0.0000399,27,18
2.74E-05,25,12,,,,,0.0000292,12,18
3.07E-05,27,11,,,,,0.0000385,28,18
3.50E-05,4,11,,,,,0.0000333,14,18
3.76E-05,5,10,,,,,0.000028,5,18
4.11E-05,35,10,,,,,0.0000451,1,19
3.67E-05,11,10,,,,,0.0000384,25,19
2.80E-05,8,11,,,,,0.0000288,13,19
2.94E-05,3,10,,,,,0.0000676,5,19
2.97E-05,15,14,,,,,0.0004448,2,19
2.89E-05,12,15,,,,,0.0000376,27,19
2.88E-05,33,15,,,,,0.0000324,2,19
2.91E-05,23,14,,,,,0.0000309,29,19
2.95E-05,19,14,,,,,0.0000399,5,19
2.95E-05,31,13,,,,,0.0000286,6,19
2.93E-05,7,13,,,,,0.0000374,31,20
3.26E-05,24,13,,,,,0.0000335,29,20
2.89E-05,31,14,,,,,0.0000296,32,20
3.30E-05,24,13,,,,,0.0000364,15,20
2.91E-05,4,13,,,,,0.000032,31,21
2.88E-05,17,13,,,,,0.0000294,33,21
2.80E-05,5,18,,,,,0.0000307,27,22
3.03E-05,23,23,,,,,0.000029,19,22
3.09E-05,34,23,,,,,0.0000438,25,22
2.90E-05,19,22,,,,,0.0000303,23,23
