cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.88E-05,6,4,29,,,,,0.0000177,9,1,18
1.85E-05,9,18,29,,,,,0.0000101,11,0,18
1.83E-05,2,23,26,,,,,0.0000187,12,5,18
1.08E-05,5,0,27,,,,,0.0000178,2,1,18
1.78E-05,6,4,27,,,,,0.0000182,2,3,18
2.10E-05,17,4,24,,,,,0.0000192,14,9,18
1.79E-05,17,8,26,,,,,0.0000178,6,4,18
1.81E-05,13,13,25,,,,,0.0000186,13,7,18
1.79E-05,8,3,25,,,,,0.0000176,9,4,18
1.80E-05,4,1,29,,,,,0.0000178,8,10,18
1.78E-05,14,11,30,,,,,0.0000179,12,4,18
1.76E-05,12,4,29,,,,,0.0000259,2,8,18
2.89E-05,13,22,27,,,,,0.0000192,11,7,18
1.78E-05,18,8,27,,,,,0.0000195,20,13,18
1.81E-05,13,19,23,,,,,0.0000179,19,2,18
1.82E-05,13,16,30,,,,,0.0000183,19,15,18
1.78E-05,18,14,34,,,,,0.0000178,13,4,18
1.87E-05,1,28,34,,,,,0.0000177,13,5,18
1.87E-05,7,20,28,,,,,0.0000112,17,0,18
1.81E-05,16,16,29,,,,,0.0000188,12,13,18
1.87E-05,6,25,31,,,,,0.0000105,17,0,18
1.86E-05,2,26,32,,,,,0.000018,14,12,18
1.81E-05,3,18,34,,,,,0.0000177,7,5,18
1.81E-05,10,19,33,,,,,0.0000176,18,5,18
1.83E-05,20,15,35,,,,,0.0000184,2,9,18
1.82E-05,7,17,38,,,,,0.0000181,13,5,18
1.88E-05,19,17,35,,,,,0.0000179,1,9,18
1.90E-05,5,32,35,,,,,0.0000177,10,1,18
1.87E-05,20,26,34,,,,,0.0000177,1,10,18
1.85E-05,17,18,29,,,,,0.0000208,4,10,19
1.81E-05,13,16,26,,,,,0.0000229,15,14,19
1.79E-05,18,12,25,,,,,0.0000179,13,16,19
1.83E-05,8,24,26,,,,,0.0000098,18,0,19
1.81E-05,2,17,27,,,,,0.0000188,3,17,19
2.11E-05,8,2,23,,,,,0.000019,14,16,19
1.73E-05,9,1,20,,,,,0.0000198,19,17,19
1.79E-05,12,4,18,,,,,0.0000187,20,14,19
