cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.30E-06,19,19,20,,,,,0.0000012,20,15,16
2.30E-06,9,23,24,,,,,0.0000013,11,15,16
1.30E-06,1,23,24,,,,,0.0000012,16,15,16
1.20E-06,17,21,22,,,,,0.0000012,20,15,16
1.20E-06,12,21,22,,,,,0.0000018,10,15,16
1.70E-06,10,21,22,,,,,0.0000015,11,15,16
2.50E-06,8,20,21,,,,,0.0000014,6,15,16
1.60E-06,15,22,23,,,,,0.0000015,13,15,16
1.30E-06,12,23,24,,,,,0.0000014,14,16,17
1.80E-06,19,22,23,,,,,0.0000012,7,16,17
1.60E-06,5,24,25,,,,,0.0000017,6,16,17
1.20E-06,12,24,25,,,,,0.0000013,14,16,17
1.30E-06,13,27,28,,,,,0.0000015,7,16,17
1.20E-06,13,29,30,,,,,0.0000013,9,16,17
2.50E-06,9,28,29,,,,,0.0000013,11,16,17
2.30E-06,12,32,33,,,,,0.0000012,16,16,17
1.60E-06,12,33,34,,,,,0.0000016,16,16,17
1.50E-06,20,35,36,,,,,0.0000014,5,16,17
1.20E-06,18,37,38,,,,,0.0000016,3,16,17
1.20E-06,2,36,37,,,,,0.0000017,4,16,17
1.90E-06,4,37,38,,,,,0.0000014,15,16,17
1.40E-06,2,38,39,,,,,0.0000012,8,16,17
1.30E-06,5,36,37,,,,,0.0000012,13,16,17
1.10E-06,9,36,37,,,,,0.0000015,8,16,17
1.30E-06,3,42,43,,,,,0.0000014,14,16,17
1.40E-06,9,41,42,,,,,0.0000013,8,16,17
1.30E-06,12,41,42,,,,,0.0000018,12,16,17
1.70E-06,6,35,36,,,,,0.0000017,9,16,17
1.10E-06,9,37,38,,,,,0.0000012,5,16,17
1.70E-06,3,36,37,,,,,0.0000013,7,16,17
2.50E-06,8,38,39,,,,,0.0000012,8,16,17
1.30E-06,19,39,40,,,,,0.0000013,3,16,17
2.40E-06,11,40,41,,,,,0.0000015,11,16,17
1.30E-06,7,41,42,,,,,0.0000014,2,16,17
1.30E-06,18,38,39,,,,,0.0000017,7,16,17
1.40E-06,9,42,43,,,,,0.0000012,10,16,17
1.40E-06,15,43,44,,,,,0.0000015,3,16,17
1.50E-06,18,41,42,,,,,0.0000012,5,16,17
1.20E-06,8,42,43,,,,,0.0000012,13,16,17
1.10E-06,20,42,43,,,,,0.0000013,9,16,17
1.20E-06,8,43,44,,,,,0.0000013,6,16,17
1.20E-06,11,44,45,,,,,0.0000012,12,16,17
1.20E-06,6,45,46,,,,,0.0000013,16,16,17
1.20E-06,1,46,47,,,,,0.0000013,7,16,17
1.40E-06,16,37,38,,,,,0.0000013,13,16,17
1.40E-06,19,34,35,,,,,0.0000013,3,16,17
1.70E-06,18,33,34,,,,,0.0000012,6,16,17
1.30E-06,11,31,32,,,,,0.0000012,15,16,17
1.30E-06,20,32,33,,,,,0.0000016,19,16,17
1.20E-06,17,34,35,,,,,0.0000011,11,17,18
1.30E-06,10,30,31,,,,,0.0000011,12,17,18
1.40E-06,3,30,31,,,,,0.0000012,14,17,18
1.50E-06,15,25,26,,,,,0.0000012,1,17,18
1.50E-06,9,25,26,,,,,0.0000012,9,17,18
1.20E-06,4,26,27,,,,,0.0000015,1,17,18
1.10E-06,8,26,27,,,,,0.0000014,2,17,18
2.00E-06,6,26,27,,,,,0.0000028,6,17,18
1.20E-06,9,24,25,,,,,0.0000012,7,17,18
1.40E-06,19,21,22,,,,,0.0000012,5,17,18
1.40E-06,12,24,25,,,,,0.0000013,6,17,18
2.30E-06,1,25,26,,,,,0.0000013,12,17,18
1.20E-06,18,26,27,,,,,0.0000021,10,17,18
1.40E-06,6,23,24,,,,,0.0000016,2,17,18
1.20E-06,2,23,24,,,,,0.0000012,9,17,18
1.20E-06,9,24,25,,,,,0.0000012,1,17,18
1.80E-06,1,25,26,,,,,0.0000012,3,17,18
1.20E-06,12,26,27,,,,,0.0000012,10,17,18
1.10E-06,14,27,28,,,,,0.0000013,5,17,18
2.60E-06,9,28,29,,,,,0.0000013,17,17,18
1.40E-06,8,25,26,,,,,0.0000016,14,17,18
1.40E-06,6,23,24,,,,,0.0000016,19,17,18
1.30E-06,5,24,25,,,,,0.0000012,3,17,18
1.20E-06,12,25,26,,,,,0.0000012,10,17,18
2.00E-06,18,25,26,,,,,0.0000012,20,17,18
2.00E-06,12,26,27,,,,,0.0000016,7,17,18
1.30E-06,11,30,31,,,,,0.0000012,7,17,18
1.20E-06,15,31,32,,,,,0.0000012,8,17,18
1.10E-06,14,32,33,,,,,0.0000016,1,17,18
1.20E-06,14,32,33,,,,,0.0000012,18,17,18
1.30E-06,8,27,28,,,,,0.0000013,16,17,18
1.20E-06,15,29,30,,,,,0.0000014,5,17,18
1.30E-06,9,28,29,,,,,0.0000014,10,17,18
1.50E-06,20,28,29,,,,,0.0000014,16,17,18
1.30E-06,9,34,35,,,,,0.0000016,3,17,18
1.20E-06,15,33,34,,,,,0.0000016,9,17,18
